shoe_id,n_masks_found,n_valid_masks,fg_area_mean,fg_area_median,fg_area_std,fg_area_min,fg_area_max,frac_tiny,frac_huge,mean_n_components,median_largest_cc_frac,frac_multiblob,frac_boundary_touch,seg_consistency_score,n_registered,registration_rate,cam_center_x,cam_center_y,cam_center_z,n_sparse_points,mean_reproj_error,median_reproj_error,mean_track_length,object_center_x,object_center_y,object_center_z,cam_radius_mean,cam_radius_std,cam_radius_cv,pca_ratio_12,pca_ratio_13,azimuth_coverage,max_azimuth_gap_deg,elevation_range_deg,elevation_mean_deg,orbit_thickness_ratio,verdict,reasons
Adidas-Yeezy-Boost-350-V2-Desert-Sage-Infant,36,36,0.1893377400011458,0.19989975623799067,0.0360050932112421,0.12224910165862658,0.23227975793730582,0.0,0.0,1.0,1.0,0.0,0.0,0.8098366801514362,36,1.0,0.00046558625630794333,-0.0001911765931300232,3.8662638366271374e-05,40221,0.2917328312201108,0.23989760569138205,4.738072151363715,-0.02400106604305464,0.26217462568629624,-0.00019782067584481704,3.707070682876826,0.02702967337576818,0.007291383328788363,0.9979224521207041,2.855409107261527e-07,1.0,10.257648596428794,0.13285092194618553,-4.0383191952741715,0.0005349162278581148,pass,—
Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Infants,36,36,0.17672929526748973,0.18832314814814816,0.03421473730945045,0.11211296296296297,0.21732060185185184,0.0,0.0,1.0,1.0,0.0,0.0,0.8064003069911838,36,1.0,0.0003683350796203941,-2.379600643460215e-05,-0.0006234828529561401,28624,0.30288007622981683,0.2144668764931482,4.860152319731694,-0.0337321527911165,0.1454527043818573,0.005745131502501325,3.7602453530936564,0.026047099239761208,0.006926968001790508,0.9984577984215747,2.796594169327638e-07,1.0,10.35644936135796,0.09073887384916945,2.21708557932346,0.0005292365957683966,pass,—
Adidas-Yeezy-Boost-350-V2-Static-Non-Reflective-Kids,36,36,0.13526797196502058,0.14381064814814815,0.028658654448277275,0.08058078703703704,0.1671349537037037,0.0,0.0,1.0,1.0,0.0,0.0,0.7881342195646415,36,1.0,0.0001658694970632646,0.0002322949329064313,-0.000540571805505362,32850,0.24463720537994363,0.16900516489991776,4.669041095890411,-0.059252964780399126,0.13676674892382845,0.01064486287317947,3.7017823589307173,0.0439714043286889,0.011878441265625976,0.9987777517407113,3.674121543590054e-07,1.0,10.184894957395148,0.12472691094858712,2.1150758417043023,0.0006065160944799545,pass,—
Air-Jordan-1-Mid-Wear-Away-Chicago-Gs,36,36,0.1926685056584362,0.20250983796296296,0.04099087953788763,0.11549375,0.24015185185185184,0.0,0.0,1.0,1.0,0.0,0.0,0.7872466005909835,36,1.0,-0.00027816406476905943,9.43221643441491e-05,-0.00023546025236245407,34840,0.2523785906727339,0.2017089902954798,5.296469575200918,-0.14453430915279109,0.08528888985440784,-0.01030754734973349,3.7005351250510383,0.10091777354810687,0.027271129752271975,0.9987633690253978,1.7427520222374294e-07,0.9722222222222222,10.415963005655788,0.1336126355431495,-1.33526871397532,0.00041772117897768686,pass,—
Air-Jordan-1-Retro-High-Hyper-Royal-Smoke-Grey-Gs,36,36,0.2904747620884774,0.30834537037037035,0.0671604322027116,0.15839166666666665,0.37274560185185185,0.0,0.0,1.0,1.0,0.0,0.0,0.7687908177638689,36,1.0,8.122226954341037e-05,8.93996382990379e-05,-0.0005365743992070682,31279,0.3142659530304512,0.22766017773868188,4.853735733239554,-0.16696224996279782,0.15465453270656257,-0.012766181479357295,3.7041445266055826,0.12239956751527652,0.03304395026601229,0.9989957939040945,9.764384630010698e-08,0.9722222222222222,10.514994049965816,0.21768973511294876,2.2995010818281347,0.0003126371689881148,pass,—
Air-Jordan-1-Retro-High-Og-Washed-Black-Gs,36,36,0.2358370949074074,0.24573171296296298,0.04685468238001605,0.1434574074074074,0.29132268518518517,0.0,0.0,1.0,1.0,0.0,0.0,0.801326070445314,36,1.0,5.5851987281651775e-05,7.271950676714159e-05,-0.00013776762200930678,31534,0.2557647245820092,0.18436124255393838,4.408289465338999,-0.14809980328258665,0.12277004983424415,-0.013742689063329388,3.668805345836552,0.10567404243001599,0.028803393058161948,0.9986063366382635,1.422596859582847e-07,1.0,10.42745697141801,0.15609242657513844,1.9061838954485149,0.00037743638544649176,pass,—
Air-Jordan-1-Retro-High-Og-White-Cement-Gs,36,36,0.274496617798354,0.28813969907407405,0.06007300907017023,0.15410787037037038,0.34938425925925926,0.0,0.0,1.0,1.0,0.0,0.0,0.7811520974211055,36,1.0,3.422055372602638e-05,-0.00012382152903528802,0.0002562725791063018,30861,2668.9736211987274,1776.4835217428601,5.5811866109328925,0.11332973944571309,0.1336327668073529,0.002017103940582829,3.7262121970756303,0.08105347242361001,0.02175224279691361,0.998840088226739,6.103365572872423e-07,0.9722222222222222,10.365731774395286,0.20085984908356513,-2.0363751679652977,0.000781693876010294,borderline,mean_reproj_error=2668.97 > 2.0
Air-Jordan-12-Retro-Arctic-Punch-Gs,36,36,0.3034510802469136,0.3151728009259259,0.05990793718355946,0.19160578703703704,0.3752858796296296,0.0,0.0,1.0,1.0,0.0,0.0,0.8025779406195777,36,1.0,0.00034341185165011486,5.247219258624033e-05,-0.0006720468195180339,34852,0.3367479675492438,0.2604461913033067,5.201078847698841,-0.17182722641389916,0.0782111378181262,-0.002464674218234584,3.742291238516275,0.12295638945836877,0.03285591142476605,0.9975178037163155,1.4038796101980261e-07,0.9722222222222222,10.46731108828894,0.1448162760204832,-1.16314654307932,0.00037514970213723884,pass,—
Air-Jordan-13-Retro-Houndstooth-Gs,36,36,0.2682906571502058,0.28067152777777776,0.05362878436023106,0.16622592592592592,0.33229583333333335,0.0,0.0,1.0833333333333333,1.0,0.05555555555555555,0.0,0.800109385358856,36,1.0,-6.844501386212781e-05,-0.0002485972188933088,-0.0004223799109113808,35755,0.20447796956144929,0.14837427563593156,4.867235351699063,-0.13055156841121837,0.0582365796099357,-0.0025178558769515438,3.6736726525980896,0.09211995496230897,0.025075711331318546,0.9980537652962594,1.982938232926154e-07,0.9722222222222222,10.383557087124476,0.10580913244114687,-0.9019998810812636,0.0004457359107944158,pass,—
Air-Jordan-5-Retro-Plaid-Gs,36,36,0.2127522633744856,0.2198974537037037,0.04280167364561917,0.13054675925925927,0.26536458333333335,0.0,0.0,1.0277777777777777,1.0,0.027777777777777776,0.0,0.7988191854378544,36,1.0,0.00015237265457657752,-0.00017886632807439672,-0.0002304789595077603,35290,0.26131576349046204,0.16514101467592637,4.995664494190989,-0.15196114066868951,0.13212597286562885,0.016798953010159736,3.7550272857254154,0.11010677532074985,0.02932249673372982,0.99794989595178,4.879538677786356e-07,1.0,10.46188362356897,0.24423312567299105,-2.002968783441178,0.0006992540875820667,pass,—
